hostname compute|IP_Compute|Cum Cloud|RAM
hlc6f-vtt02-com-10254170033|10.254.170.2:9183|cisco-2020|192512
hlc6f-vtt02-com-10254170034|10.254.170.2:9183|cisco-2020|163840
hlc6f-vtt02-com-10254170035|10.254.170.2:9183|cisco-2020|129024
hlc6f-vtt02-com-10254170036|10.254.170.2:9183|cisco-2020|126976
hlc6fcom-155|10.255.77.3:9183|openstack-hlct6|221184
hlc6fcom-156|10.255.77.3:9183|openstack-hlct6|229376
hlc6fcom-157|10.255.77.3:9183|openstack-hlct6|212992
hlc6fcom78-35|10.255.77.3:9183|openstack-hlct6|286720
hlc6fcom78-36|10.255.77.3:9183|openstack-hlct6|348160
hlc6fcom78-37|10.255.77.3:9183|openstack-hlct6|303104
hlc6f-vtn01-com-10255204126|10.255.77.3:9183|openstack-hlct6|409600
hlc6f-vtn01-com-10255204127|10.255.77.3:9183|openstack-hlct6|327680
hlc6f-vtn01-com-10255204128|10.255.77.3:9183|openstack-hlct6|335872
hlc6f-vtn01-com-10255204129|10.255.77.3:9183|openstack-hlct6|385024
hlc6f-vtn01-com-10255204130|10.255.77.3:9183|openstack-hlct6|335872
hlc6f-vtn01-com-10255204133|10.255.77.3:9183|openstack-hlct6|458752
hlc6f-vtn01-com-10255204134|10.255.77.3:9183|openstack-hlct6|352256
hlc6f-vtn01-com-10255204138|10.255.77.3:9183|openstack-hlct6|428032
hlc6f-vtn01-com-10255204139|10.255.77.3:9183|openstack-hlct6|421888
hlc6f-vtn01-com-10255204140|10.255.77.3:9183|openstack-hlct6|370688
hlc6f-vtn01-com-10255204141|10.255.77.3:9183|openstack-hlct6|401408
hlc6f-vtn01-com-10255204142|10.255.77.3:9183|openstack-hlct6|278528
hlc6f-vtn01-com-10255204143|10.255.77.3:9183|openstack-hlct6|364544
hlc6f-vtn01-com-10255204144|10.255.77.3:9183|openstack-hlct6|311296
hlc6f-vtn01-com-10255204145|10.255.77.3:9183|openstack-hlct6|385024
hlc6f-vtn01-com-10255204147|10.255.77.3:9183|openstack-hlct6|442368
hlc6f-vtn01-com-10255204148|10.255.77.3:9183|openstack-hlct6|438272
hlc6f-vtn01-com-10255204149|10.255.77.3:9183|openstack-hlct6|392448
hlc6f-vtn02-com-10255204146|10.255.77.3:9183|openstack-hlct6|212992
hlc6f-vtn02-com-10254170088|10.254.170.2:9183|cisco-2020|229376
hlc6f-vtn02-com-10254170089|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170090|10.254.170.2:9183|cisco-2020|225280
hlc6f-vtn02-com-10254170091|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170092|10.254.170.2:9183|cisco-2020|239616
hlc6f-vtn02-com-10254170093|10.254.170.2:9183|cisco-2020|270336
hlc6f-vtn02-com-10254170094|10.254.170.2:9183|cisco-2020|214016
hlc6f-vtn02-com-10254170095|10.254.170.2:9183|cisco-2020|214016
hlc6f-vtn02-com-10254170096|10.254.170.2:9183|cisco-2020|220416
hlc6f-vtn02-com-10254170097|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170098|10.254.170.2:9183|cisco-2020|216320
hlc6f-vtn02-com-10254170099|10.254.170.2:9183|cisco-2020|199936
hlc6f-vtn02-com-10254170100|10.254.170.2:9183|cisco-2020|180224
hlc6f-vtn02-com-10254170101|10.254.170.2:9183|cisco-2020|188416
hlc6f-vtn02-com-10254170102|10.254.170.2:9183|cisco-2020|239616
hlc6f-vtn02-com-10254170103|10.254.170.2:9183|cisco-2020|223232
hlc6f-vtn02-com-10254170104|10.254.170.2:9183|cisco-2020|204800
hlc6f-vtn02-com-10254170139|10.254.170.2:9183|cisco-2020|202752
hlc6f-vtn02-com-10254170140|10.254.170.2:9183|cisco-2020|245760
hlc6f-vtn02-com-10254170141|10.254.170.2:9183|cisco-2020|237568
hlc6f-vtn02-com-10254170142|10.254.170.2:9183|cisco-2020|229376
hlc6f-vtn02-com-10254170148|10.254.170.2:9183|cisco-2020|221184
hlc6f-vtn02-com-10254170149|10.254.170.2:9183|cisco-2020|151552
hlc6f-vtn02-com-10254170150|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170151|10.254.170.2:9183|cisco-2020|184320
hlc6f-vtn02-com-10254170152|10.254.170.2:9183|cisco-2020|223232
hlc6f-vtn02-com-10254170153|10.254.170.2:9183|cisco-2020|214016
hlc6f-vtn02-com-10254170154|10.254.170.2:9183|cisco-2020|221184
hlc6f-vtn02-com-10254170155|10.254.170.2:9183|cisco-2020|256000
hlc6f-vtn02-com-10254170105|10.254.170.2:9183|cisco-2020|225280
hlc6f-vtn02-com-10254170106|10.254.170.2:9183|cisco-2020|225280
hlc6f-vtn02-com-10254170107|10.254.170.2:9183|cisco-2020|215040
hlc6f-vtn02-com-10254170108|10.254.170.2:9183|cisco-2020|235520
hlc6f-vtn02-com-10254170109|10.254.170.2:9183|cisco-2020|221184
hlc6f-vtn02-com-10254170110|10.254.170.2:9183|cisco-2020|245760
hlc6f-vtn02-com-10254170111|10.254.170.2:9183|cisco-2020|114688
hlc6f-vtn02-com-10254170112|10.254.170.2:9183|cisco-2020|249856
hlc6f-vtn02-com-10254170113|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170114|10.254.170.2:9183|cisco-2020|217088
hlc6f-vtn02-com-10254170115|10.254.170.2:9183|cisco-2020|208896
hlc6f-vtn02-com-10254170116|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170117|10.254.170.2:9183|cisco-2020|214992
hlc6f-vtn02-com-10254170118|10.254.170.2:9183|cisco-2020|212992
hlc6f-vtn02-com-10254170143|10.254.170.2:9183|cisco-2020|225280
hlc6f-vtn02-com-10254170144|10.254.170.2:9183|cisco-2020|239616
hlc6f-vtn02-com-10254170145|10.254.170.2:9183|cisco-2020|199936
hlc6f-vtn02-com-10254170146|10.254.170.2:9183|cisco-2020|249856
hlc6f-vtn02-com-10254170147|10.254.170.2:9183|cisco-2020|221184
hlc5fcom-008|10.255.77.3:9183|openstack-hlct6|16384
hlc5fcom-009|10.255.77.3:9183|openstack-hlct6|65536
hlc5fcom-010|10.255.77.3:9183|openstack-hlct6|102400
hlc5fcom-011|10.255.77.3:9183|openstack-hlct6|102400
hlc5fcom-012|10.255.77.3:9183|openstack-hlct6|29696
hlc5fcom-013|10.255.77.3:9183|openstack-hlct6|114688
hlc5fcom-014|10.255.77.3:9183|openstack-hlct6|114688
hlc5fcom-015|10.255.77.3:9183|openstack-hlct6|98304
hlc5fcom-016|10.255.77.3:9183|openstack-hlct6|205824
hlc5fcom-017|10.255.77.3:9183|openstack-hlct6|159744
hlc5fcom-018|10.255.77.3:9183|openstack-hlct6|204032
hlc5fcom-019|10.255.77.3:9183|openstack-hlct6|89088
hlc5fcom-021|10.255.77.3:9183|openstack-hlct6|106496
hlc5fcom-160|10.255.77.3:9183|openstack-hlct6|209920
hlc5fcom-161|10.255.77.3:9183|openstack-hlct6|94208
hlc5fcom-202|10.255.77.3:9183|openstack-hlct6|53248
hlc5fcom-203|10.255.77.3:9183|openstack-hlct6|200704
hlc5fcom-211|10.255.77.3:9183|openstack-hlct6|86016
hlc5fcom-212|10.255.77.3:9183|openstack-hlct6|86016
hlc5fcom-213|10.255.77.3:9183|openstack-hlct6|219136
hlc5fcom-217|10.255.77.3:9183|openstack-hlct6|90112
hlc5fcom-218|10.255.77.3:9183|openstack-hlct6|180224
hlc5fcom-219|10.255.77.3:9183|openstack-hlct6|114688
hlc5fcom-220|10.255.77.3:9183|openstack-hlct6|196608
hlc5fcom-222|10.255.77.3:9183|openstack-hlct6|212992
hlc5fcom-229|10.255.77.3:9183|openstack-hlct6|53248
hlc5fcom-230|10.255.77.3:9183|openstack-hlct6|180224
hlc5fcom-231|10.255.77.3:9183|openstack-hlct6|16384
hlc5fcom-001|10.255.77.3:9183|openstack-hlct6|143360
hlc5fcom-002|10.255.77.3:9183|openstack-hlct6|212992
hlc5fcom-003|10.255.77.3:9183|openstack-hlct6|221184
hlc5fcom-004|10.255.77.3:9183|openstack-hlct6|118784
hlc5fcom-005|10.255.77.3:9183|openstack-hlct6|118784
hlc5fcom-006|10.255.77.3:9183|openstack-hlct6|143360
hlc5fcom-007|10.255.77.3:9183|openstack-hlct6|110592
hlc5fcom-020|10.255.77.3:9183|openstack-hlct6|114688
hlc5fcom-204|10.255.77.3:9183|openstack-hlct6|184320
hlc5fcom-205|10.255.77.3:9183|openstack-hlct6|212992
hlc5fcom-206|10.255.77.3:9183|openstack-hlct6|139264
